100 17.560000000000002 30.28 20.54 27.62 25.85
200 32.2 32.23 32.84 37.19 37.8
300 37.7 42.059999999999995 33.64 38.81 40.94
400 44.0 49.18 39.83 48.85 35.709999999999994
500 46.69 51.01 44.92 52.290000000000006 43.18
600 47.370000000000005 50.0 46.61 53.33 45.56
700 53.239999999999995 51.22 50.62 54.39000000000001 51.370000000000005
800 50.529999999999994 54.25 54.25 56.38999999999999 52.129999999999995
900 51.06 56.57 56.220000000000006 57.64 54.92
1000 51.800000000000004 57.37 55.87 57.89 54.92
