20 38.31 43.19 40.0 33.75 32.28
40 36.49 44.52 38.1 38.39 28.38
60 40.14 45.64 37.8 41.01 29.47
80 37.63 47.3 39.4 35.74 33.22
100 35.69 45.95 35.99 35.33 32.8
120 38.93 41.08 36.9 35.33 27.56
140 43.0 45.52 38.92 39.49 26.67
160 39.74 50.68 39.76 36.31 30.77
180 39.34 48.0 38.92 36.94 33.57
200 39.6 44.59 39.75 37.54 31.69
220 37.67 48.8 40.36 35.95 35.42
240 41.75 50.0 44.24 36.59 27.7
260 39.33 49.66 36.14 35.33 32.75
280 42.86 50.17 43.83 38.73 31.54
300 48.16 50.0 45.31 37.46 35.25
320 40.53 48.67 38.87 38.85 34.27
340 45.12 51.19 43.45 39.35 35.49
360 45.79 46.82 44.37 41.29 34.11
380 45.03 50.0 41.9 40.51 35.86
400 43.69 50.67 46.98 38.19 34.78
420 42.62 52.84 44.94 39.09 33.45
440 43.39 52.05 43.51 43.23 38.49
460 48.25 49.32 41.77 42.17 31.86
480 46.42 52.03 42.63 37.74 33.0
500 46.74 47.95 44.16 42.81 38.75
