20 43.94 44.28 42.38 38.73 35.47
40 41.98 43.12 39.34 42.91 35.42
60 44.02 48.48 40.4 43.38 37.14
80 41.7 50.19 42.14 44.13 37.06
100 41.98 50.55 45.9 49.64 35.77
120 47.33 48.35 46.94 44.44 37.23
140 41.06 50.75 46.91 42.86 32.97
160 42.75 52.01 46.25 43.82 37.26
180 40.6 50.55 46.62 40.71 39.69
200 45.67 59.26 42.61 42.86 36.84
220 45.99 48.35 47.06 43.21 38.58
240 50.18 53.0 44.44 45.83 35.42
260 46.84 53.28 47.65 43.88 40.77
280 52.87 52.33 45.58 44.44 40.0
300 50.95 54.01 43.69 41.13 38.46
320 52.99 57.14 46.62 46.1 35.97
340 50.95 58.78 41.1 41.91 38.99
360 54.07 50.71 47.72 46.93 37.74
380 50.38 55.56 45.3 49.64 40.3
400 54.69 54.48 45.89 47.72 42.22
420 50.0 52.63 46.74 47.55 35.82
440 50.92 54.48 47.92 45.71 35.21
460 53.57 52.94 46.21 48.0 38.97
480 54.14 51.25 47.46 47.65 40.29
500 55.09 54.42 48.83 48.61 42.42
