20 1.6099999999999999 6.67 19.18 1.53 1.59
40 9.09 10.96 23.23 0.0 7.41
60 18.67 15.2 33.53 5.970000000000001 14.57
80 20.0 23.86 37.21 14.180000000000001 14.67
100 20.27 40.0 38.46 25.480000000000004 12.24
120 25.81 38.1 40.63 30.769999999999996 17.330000000000002
140 26.75 43.3 39.58 27.27 23.75
160 27.85 42.05 32.58 28.93 25.77
180 28.749999999999996 42.36 37.78 36.9 25.45
200 26.75 43.35 38.67 41.38 26.040000000000003
220 28.03 42.16 40.22 41.38 27.91
240 27.16 43.0 45.26 44.690000000000005 28.9
260 29.94 43.56 46.81 43.82 29.409999999999997
280 30.769999999999996 47.52 47.42 44.81 30.86
300 32.940000000000005 47.06 50.260000000000005 45.65 33.14
320 32.940000000000005 48.8 48.699999999999996 46.739999999999995 32.95
340 30.769999999999996 51.67 48.699999999999996 47.870000000000005 39.78
360 34.68 50.480000000000004 47.92 48.65 42.16
380 42.94 53.080000000000005 46.88 46.739999999999995 44.81
400 44.440000000000005 53.52 46.63 48.39 46.489999999999995
420 39.78 52.129999999999995 46.63 47.620000000000005 46.739999999999995
440 39.78 52.629999999999995 46.07 47.370000000000005 47.31
460 42.39 53.52 44.21 52.080000000000005 47.83
480 42.16 52.580000000000005 45.03 48.42 46.150000000000006
500 44.09 53.7 42.55 49.21 44.2
