20 39.53 42.11 43.8 42.75 37.1
40 40.85 47.06 43.07 46.46 40.94
60 40.17 46.64 43.77 48.41 41.6
80 43.04 50.38 44.93 48.0 38.71
100 40.17 49.8 47.22 46.39 40.15
120 39.84 54.12 43.96 45.8 34.43
140 40.68 52.21 50.0 53.23 35.34
160 43.37 52.34 46.93 42.8 40.33
180 43.9 54.14 45.35 44.36 38.21
200 46.96 52.63 47.48 45.31 38.55
220 41.77 47.66 50.74 46.03 40.16
240 50.0 57.79 48.35 49.24 40.0
260 44.19 49.23 48.94 48.46 37.75
280 51.36 50.37 49.64 51.16 39.84
300 51.36 52.63 46.43 51.85 44.27
320 51.34 52.24 47.48 52.31 42.23
340 51.54 50.56 50.0 57.59 42.8
360 56.92 50.94 47.01 54.26 39.06
380 51.54 55.02 47.35 49.04 45.78
400 56.22 54.34 49.08 55.35 41.86
420 53.97 54.89 48.48 52.92 39.85
440 54.47 50.38 54.61 48.71 43.03
460 52.51 51.85 48.59 50.59 40.15
480 52.34 57.78 51.43 49.62 41.77
500 51.79 58.52 46.21 57.03 41.57
