20 42.86 43.12 43.99 44.85 48.03
40 44.83 45.81 48.46 40.88 42.55
60 46.99 49.21 44.52 42.4 43.67
80 45.48 47.62 44.3 51.85 47.62
100 48.4 52.98 43.24 45.93 43.8
120 44.96 50.67 45.73 49.45 41.03
140 44.13 48.05 52.84 50.0 47.5
160 48.54 49.83 46.67 51.3 46.53
180 46.47 49.5 50.0 47.35 49.59
200 49.71 49.67 52.12 53.33 47.54
220 50.29 51.15 53.42 51.25 46.03
240 50.43 50.0 52.53 48.38 44.63
260 46.51 48.48 51.66 48.06 52.67
280 48.24 49.51 52.63 48.94 46.61
300 48.14 50.33 48.0 49.28 44.08
320 47.7 47.25 51.35 51.64 50.21
340 47.7 48.56 50.0 47.86 47.01
360 48.12 51.32 57.33 50.35 51.5
380 52.0 52.15 50.33 54.61 51.22
400 50.15 49.51 50.99 50.36 50.62
420 48.14 50.78 53.29 48.42 47.93
440 52.35 48.89 50.65 51.26 54.39
460 48.43 49.36 57.24 53.48 49.59
480 51.87 45.81 51.78 52.45 50.0
500 47.16 49.52 54.37 50.71 50.21
