20 43.26 42.42 47.84 46.94 41.27
40 44.14 43.84 46.75 40.13 39.84
60 48.47 45.82 44.88 46.05 46.59
80 45.05 47.47 42.62 41.2 47.39
100 45.33 46.3 48.18 41.75 45.97
120 43.84 51.61 44.87 43.69 44.19
140 43.29 45.08 44.3 43.56 44.62
160 45.86 49.84 45.82 46.25 44.8
180 46.83 51.12 47.13 43.05 39.02
200 47.12 49.68 51.92 48.3 44.0
220 48.63 50.32 49.2 46.98 46.27
240 50.28 50.63 52.34 50.98 46.96
260 47.51 48.92 52.06 49.35 46.64
280 46.9 50.47 49.2 45.27 45.91
300 46.61 46.5 52.2 47.62 43.31
320 45.86 50.31 50.63 48.16 45.49
340 48.92 46.25 48.6 45.67 47.62
360 45.81 46.39 51.27 47.56 46.72
380 45.41 53.8 51.13 46.41 49.61
400 49.04 47.13 51.28 48.67 50.81
420 50.69 46.3 47.06 52.53 46.09
440 50.81 46.88 51.45 44.95 46.33
460 52.22 53.33 49.08 48.46 45.85
480 51.69 51.57 53.54 49.67 51.97
500 48.48 49.69 51.39 50.49 49.8
