20 3.49 9.58 2.56 1.39 0.0
40 5.56 22.7 13.100000000000001 1.39 13.850000000000001
60 18.09 25.380000000000003 13.020000000000001 23.53 16.54
80 20.69 31.069999999999997 16.0 33.68 20.14
100 17.560000000000002 30.28 20.54 27.62 25.85
120 20.1 28.439999999999998 26.88 32.98 27.85
140 27.150000000000002 29.520000000000003 29.020000000000003 32.26 34.150000000000006
160 29.82 26.87 32.32 38.78 37.43
180 29.909999999999997 31.430000000000003 29.630000000000003 39.22 38.32
200 32.2 32.23 32.84 37.19 37.8
220 33.879999999999995 37.1 32.35 36.82 37.580000000000005
240 36.67 37.169999999999995 30.39 37.62 37.8
260 37.86 37.55 33.01 36.449999999999996 39.290000000000006
280 36.89 42.74 32.08 37.76 40.46
300 37.7 42.059999999999995 33.64 38.81 40.94
320 35.77 43.22 32.71 42.16 40.699999999999996
340 38.17 45.96 33.489999999999995 40.78 40.94
360 38.68 46.22 36.44 43.269999999999996 40.699999999999996
380 39.839999999999996 47.93 38.769999999999996 49.3 37.87
400 44.0 49.18 39.83 48.85 35.709999999999994
420 43.55 47.3 38.6 47.96 37.65
440 46.27 50.0 42.11 48.85 37.87
460 44.71 51.01 43.29 51.13999999999999 41.18
480 43.919999999999995 51.43 42.92 51.13999999999999 43.02
500 46.69 51.01 44.92 52.290000000000006 43.18
