20 35.19 25.79 29.27 32.03 32.65
40 40.11 36.05 36.5 32.06 32.9
60 39.76 33.45 34.07 44.6 34.63
80 41.44 35.42 32.03 39.11 41.84
100 43.5 35.99 41.01 40.69 37.66
120 41.76 33.56 41.43 40.59 39.51
140 45.22 35.21 40.0 39.13 40.0
160 45.83 41.13 39.29 43.54 38.21
180 43.79 38.43 45.99 38.93 43.4
200 46.24 39.06 43.69 44.19 44.35
220 44.7 38.51 47.1 42.42 43.8
240 49.43 41.2 46.78 42.96 43.7
260 47.54 44.3 49.16 44.19 42.52
280 46.24 44.81 44.15 44.53 42.74
300 48.4 42.9 46.42 42.65 48.54
320 45.71 44.81 47.14 47.19 45.16
340 46.06 48.52 46.46 45.86 43.15
360 47.67 42.21 48.32 48.15 40.5
380 47.03 42.21 47.25 45.42 37.4
400 47.13 42.72 42.72 45.99 45.08
420 48.16 48.86 45.18 45.88 41.11
440 45.76 45.71 44.09 45.59 41.46
460 47.7 42.07 43.1 49.82 41.43
480 45.33 44.37 49.67 48.3 36.95
500 48.99 44.37 45.02 43.07 44.18
