20 37.54 24.85 28.2 30.2 28.79
40 38.8 29.21 29.24 32.12 27.82
60 38.92 31.19 31.21 39.86 33.2
80 39.89 33.96 31.86 39.18 37.75
100 43.17 31.07 34.93 36.86 38.25
120 44.88 31.78 36.18 36.49 36.36
140 45.94 35.29 39.74 35.81 38.55
160 43.02 38.64 43.15 41.73 38.58
180 41.94 40.26 44.52 35.54 41.11
200 49.01 33.87 44.74 43.11 37.01
220 46.7 33.44 46.91 38.33 37.5
240 44.75 36.71 43.23 39.73 42.42
260 45.38 34.29 43.53 43.01 42.74
280 46.03 41.01 40.78 36.56 40.62
300 44.44 41.74 40.13 40.86 42.23
320 47.54 39.62 44.01 43.73 40.0
340 49.3 41.88 40.62 41.84 40.32
360 48.09 45.86 42.9 43.06 42.4
380 48.45 40.87 47.77 41.92 43.82
400 46.24 38.85 41.12 44.37 40.0
420 45.86 42.27 45.43 46.82 37.94
440 44.02 42.68 43.48 45.05 39.39
460 46.76 43.37 43.61 44.98 40.47
480 49.28 44.72 45.87 46.15 40.78
500 49.06 43.69 47.65 44.52 40.0
